[2026-07-18T17:54:42.750Z] GET http://localhost:4600/api/game-status → 200 (36ms, 2096B)
[2026-07-18T17:54:43.987Z] GET http://localhost:4600/api/game-status → 200 (12ms, 2096B)
[2026-07-18T17:55:52.673Z] GET http://localhost:4600/api/game-status → 200 (16ms, 2096B)
[2026-07-18T17:55:53.893Z] GET http://localhost:4600/api/game-status → 200 (12ms, 2096B)
[2026-07-18T17:55:55.109Z] GET http://localhost:4600/api/game-status → 200 (19ms, 2180B)
[2026-07-18T17:55:56.332Z] GET http://localhost:4600/api/game-status → 200 (17ms, 2289B)
[2026-07-18T17:55:59.353Z] GET http://localhost:4600/api/game-status → 200 (34ms, 2289B)
[2026-07-18T17:56:02.389Z] GET http://localhost:4600/api/game-status → 200 (18ms, 2178B)
[2026-07-18T17:56:03.608Z] GET http://localhost:4600/api/game-status → 200 (17ms, 2178B)
[2026-07-18T17:56:28.395Z] GET http://localhost:4600/api/game-status → pending (?ms, ?B)
[2026-07-18T17:56:29.617Z] GET http://localhost:4600/api/game-status → 200 (13ms, 2178B)
[2026-07-18T17:56:30.833Z] GET http://localhost:4600/api/game-status → 200 (17ms, 2178B)
[2026-07-18T17:56:32.052Z] GET http://localhost:4600/api/game-status → 200 (16ms, 2178B)
[2026-07-18T17:56:33.269Z] GET http://localhost:4600/api/game-status → 200 (16ms, 2178B)
[2026-07-18T17:56:34.487Z] GET http://localhost:4600/api/game-status → 200 (18ms, 2178B)
[2026-07-18T17:56:53.369Z] GET http://localhost:4600/api/game-status → 200 (18ms, 2178B)
[2026-07-18T17:56:54.589Z] GET http://localhost:4600/api/game-status → pending (?ms, ?B)
[2026-07-18T17:56:55.808Z] GET http://localhost:4600/api/game-status → 200 (22ms, 2178B)
[2026-07-18T17:56:57.030Z] GET http://localhost:4600/api/game-status → 200 (12ms, 2178B)
[2026-07-18T17:56:58.244Z] GET http://localhost:4600/api/game-status → 200 (15ms, 2178B)
[2026-07-18T17:56:59.463Z] GET http://localhost:4600/api/game-status → 200 (21ms, 2178B)
[2026-07-18T17:57:28.329Z] GET http://localhost:4600/api/game-status → 200 (24ms, 2178B)
[2026-07-18T17:57:29.554Z] GET http://localhost:4600/api/game-status → 200 (17ms, 2178B)
[2026-07-18T17:57:30.772Z] GET http://localhost:4600/api/game-status → 200 (13ms, 2262B)
[2026-07-18T17:57:31.991Z] GET http://localhost:4600/api/game-status → 200 (15ms, 2371B)
[2026-07-18T17:57:35.008Z] GET http://localhost:4600/api/game-status → 200 (16ms, 2371B)
[2026-07-18T17:57:39.335Z] GET http://localhost:4600/api/game-status → 200 (19ms, 2265B)
[2026-07-18T17:57:40.557Z] GET http://localhost:4600/api/game-status → 200 (22ms, 2265B)
[2026-07-18T17:57:41.784Z] GET http://localhost:4600/api/game-status → 200 (19ms, 2265B)
[2026-07-18T17:57:43.006Z] GET http://localhost:4600/api/game-status → 200 (15ms, 2265B)
[2026-07-18T17:57:44.223Z] GET http://localhost:4600/api/game-status → 200 (17ms, 2265B)
[2026-07-18T17:58:04.110Z] GET http://localhost:4600/api/game-status → 200 (13ms, 2265B)
[2026-07-18T17:58:05.324Z] GET http://localhost:4600/api/game-status → 200 (14ms, 2265B)
[2026-07-18T17:58:06.541Z] GET http://localhost:4600/api/game-status → 200 (22ms, 2265B)
[2026-07-18T17:58:07.764Z] GET http://localhost:4600/api/game-status → 200 (15ms, 2265B)
[2026-07-18T17:58:08.985Z] GET http://localhost:4600/api/game-status → 200 (18ms, 2265B)
[2026-07-18T17:58:10.204Z] GET http://localhost:4600/api/game-status → 200 (16ms, 2265B)
[2026-07-18T17:58:30.341Z] GET http://localhost:4600/api/game-status → 200 (19ms, 2265B)
[2026-07-18T17:58:31.562Z] GET http://localhost:4600/api/game-status → 200 (15ms, 2265B)
[2026-07-18T17:58:32.780Z] GET http://localhost:4600/api/game-status → 200 (21ms, 2265B)
[2026-07-18T17:58:34.003Z] GET http://localhost:4600/api/game-status → 200 (19ms, 2265B)
[2026-07-18T17:58:35.222Z] GET http://localhost:4600/api/game-status → 200 (20ms, 2350B)
[2026-07-18T17:58:36.444Z] GET http://localhost:4600/api/game-status → 200 (19ms, 2459B)
[2026-07-18T17:58:55.615Z] GET http://localhost:4600/api/game-status → 200 (19ms, 2345B)
[2026-07-18T17:58:56.836Z] GET http://localhost:4600/api/game-status → 200 (13ms, 2345B)
[2026-07-18T17:58:58.051Z] GET http://localhost:4600/api/game-status → 200 (19ms, 2345B)
[2026-07-18T17:58:59.271Z] GET http://localhost:4600/api/game-status → 200 (21ms, 2345B)
[2026-07-18T17:59:00.493Z] GET http://localhost:4600/api/game-status → 200 (13ms, 2345B)
[2026-07-18T17:59:30.392Z] GET http://localhost:4600/api/game-status → 200 (33ms, 2345B)
[2026-07-18T17:59:31.627Z] GET http://localhost:4600/api/game-status → 200 (16ms, 2345B)
[2026-07-18T17:59:32.845Z] GET http://localhost:4600/api/game-status → 200 (17ms, 2345B)
[2026-07-18T17:59:34.063Z] GET http://localhost:4600/api/game-status → 200 (12ms, 2345B)
[2026-07-18T17:59:35.278Z] GET http://localhost:4600/api/game-status → 200 (16ms, 2345B)
[2026-07-18T17:59:36.496Z] GET http://localhost:4600/api/game-status → 200 (14ms, 2345B)
[2026-07-18T17:59:37.713Z] GET http://localhost:4600/api/game-status → 200 (22ms, 2345B)
[2026-07-18T18:07:35.384Z] GET http://localhost:4600/api/game-status → 200 (16ms, 2345B)
[2026-07-18T18:07:36.546Z] GET http://localhost:4600/api/game-status → 200 (15ms, 2345B)
[2026-07-18T18:07:37.773Z] GET http://localhost:4600/api/game-status → 200 (187ms, 2345B)
[2026-07-18T18:07:39.155Z] GET http://localhost:4600/api/game-status → 200 (15ms, 2429B)
[2026-07-18T18:07:40.372Z] GET http://localhost:4600/api/game-status → 200 (20ms, 2538B)
[2026-07-18T18:07:43.396Z] GET http://localhost:4600/api/game-status → 200 (25ms, 2445B)
[2026-07-18T18:07:44.623Z] GET http://localhost:4600/api/game-status → 200 (17ms, 2445B)
[2026-07-18T18:07:45.841Z] GET http://localhost:4600/api/game-status → 200 (18ms, 2445B)
[2026-07-18T18:07:47.061Z] GET http://localhost:4600/api/game-status → 200 (17ms, 2445B)
[2026-07-18T18:07:48.279Z] GET http://localhost:4600/api/game-status → 200 (16ms, 2445B)
[2026-07-18T18:07:49.497Z] GET http://localhost:4600/api/game-status → 200 (17ms, 2445B)
[2026-07-18T18:07:50.716Z] GET http://localhost:4600/api/game-status → 200 (22ms, 2445B)
[2026-07-18T18:07:51.940Z] GET http://localhost:4600/api/game-status → 200 (15ms, 2445B)
[2026-07-18T18:07:53.156Z] GET http://localhost:4600/api/game-status → 200 (16ms, 2445B)
[2026-07-18T18:07:54.373Z] GET http://localhost:4600/api/game-status → 200 (14ms, 2445B)
[2026-07-18T18:07:55.588Z] GET http://localhost:4600/api/game-status → 200 (20ms, 2445B)
[2026-07-18T18:07:56.810Z] GET http://localhost:4600/api/game-status → 200 (19ms, 2445B)
[2026-07-18T18:07:58.030Z] GET http://localhost:4600/api/game-status → 200 (20ms, 2445B)
[2026-07-18T18:07:59.251Z] GET http://localhost:4600/api/game-status → 200 (14ms, 2445B)
[2026-07-18T18:08:00.466Z] GET http://localhost:4600/api/game-status → pending (?ms, ?B)
[2026-07-18T18:08:01.686Z] GET http://localhost:4600/api/game-status → 200 (17ms, 2528B)
[2026-07-18T18:08:02.905Z] GET http://localhost:4600/api/game-status → 200 (18ms, 2637B)
[2026-07-18T18:08:05.925Z] GET http://localhost:4600/api/game-status → 200 (18ms, 2637B)
[2026-07-18T18:08:08.945Z] GET http://localhost:4600/api/game-status → 200 (18ms, 2637B)
[2026-07-18T18:08:11.967Z] GET http://localhost:4600/api/game-status → 200 (25ms, 2637B)
[2026-07-18T18:08:14.994Z] GET http://localhost:4600/api/game-status → 200 (14ms, 2637B)
[2026-07-18T18:08:18.011Z] GET http://localhost:4600/api/game-status → 200 (21ms, 2637B)
[2026-07-18T18:08:21.034Z] GET http://localhost:4600/api/game-status → 200 (19ms, 2637B)
[2026-07-18T18:08:24.055Z] GET http://localhost:4600/api/game-status → 200 (19ms, 2637B)
[2026-07-18T18:08:27.076Z] GET http://localhost:4600/api/game-status → 200 (15ms, 2637B)
[2026-07-18T18:08:30.092Z] GET http://localhost:4600/api/game-status → 200 (19ms, 2637B)
[2026-07-18T18:08:33.113Z] GET http://localhost:4600/api/game-status → 200 (23ms, 2637B)
[2026-07-18T18:08:36.138Z] GET http://localhost:4600/api/game-status → 200 (17ms, 2637B)
[2026-07-18T18:08:39.158Z] GET http://localhost:4600/api/game-status → 200 (18ms, 2637B)
[2026-07-18T18:08:42.179Z] GET http://localhost:4600/api/game-status → 200 (17ms, 2637B)
[2026-07-18T18:08:45.198Z] GET http://localhost:4600/api/game-status → 200 (19ms, 2637B)
[2026-07-18T18:08:48.219Z] GET http://localhost:4600/api/game-status → 200 (18ms, 2637B)
[2026-07-18T18:08:51.239Z] GET http://localhost:4600/api/game-status → 200 (26ms, 2637B)
[2026-07-18T18:08:54.266Z] GET http://localhost:4600/api/game-status → 200 (16ms, 2637B)
[2026-07-18T18:08:55.380Z] POST http://localhost:4600/api/action → 200 (2ms, 11B)
[2026-07-18T18:08:55.383Z] GET http://localhost:4600/api/game-status → 200 (15ms, 2618B)
